SCODE_NAME,NONVIOLENTC,P_NONVIOLENTC,AUTOTHEFT
01,356,3.315946349,58
02,390,3.632637854,27
03,151,1.406482861,56
04,216,2.011922504,56
05,243,2.263412817,75
06,190,1.769746647,51
07,262,2.440387481,49
08,315,2.934053651,81
09,203,1.890834575,158
10,165,1.536885246,68
11,281,2.617362146,171
12,180,1.676602086,49
13,190,1.769746647,34
14,228,2.123695976,32
15,234,2.179582712,103
16,143,1.331967213,114
17,163,1.518256334,34
18,228,2.123695976,96
19,372,3.464977645,140
20,974,9.072280179,90
21,155,1.443740686,86
22,161,1.499627422,15
23,270,2.51490313,115
24,161,1.499627422,296
25,95,0.884873323,27
26,130,1.210879285,75
27,842,7.842771982,50
28,759,7.069672131,22
29,115,1.071162444,26
30,330,3.073770492,56
31,122,1.136363636,39
32,316,2.943368107,124
33,102,0.950074516,58
34,109,1.015275708,42
35,238,2.216840537,73
36,142,1.322652757,58
37,206,1.918777943,100
38,190,1.769746647,141
39,117,1.089791356,84
40,124,1.154992548,60
41,122,1.136363636,42
42,156,1.453055142,31
43,130,1.210879285,56
44,160,1.490312966,49
