_id,Index_,Event_Unique_ID,Occurrence_year,Division,Homicide_Type,Occurrence_Date,Hood_ID,Neighbourhood,Lat,Long,ObjectId,geometry,Longitude,Latitude
1,201,1787320,2006,D52,Shooting,2006-10-27T04:00:00,77,Waterfront Communities-The Island (77),,-79.3866196,1,"{u'type': u'Point', u'coordinates': (-79.3866196, 43.6486397)}",-79.3866196,43.6486397
2,202,1470621,2006,D54,Stabbing,2006-11-05T05:00:00,43,Victoria Village (43),,-79.3049393,2,"{u'type': u'Point', u'coordinates': (-79.3049393, 43.7159882)}",-79.3049393,43.7159882
3,203,1470621,2006,D54,Stabbing,2006-11-05T05:00:00,43,Victoria Village (43),,-79.3049393,3,"{u'type': u'Point', u'coordinates': (-79.3049393, 43.7159882)}",-79.3049393,43.7159882
4,204,1448992,2006,D42,Shooting,2006-11-14T05:00:00,132,Malvern (132),,-79.2286911,4,"{u'type': u'Point', u'coordinates': (-79.2286911, 43.809391)}",-79.2286911,43.809391
5,205,1945800,2006,D11,Other,2006-11-25T05:00:00,87,High Park-Swansea (87),,-79.4844818,5,"{u'type': u'Point', u'coordinates': (-79.4844818, 43.649334)}",-79.4844818,43.649334
6,206,1796411,2006,D14,Shooting,2006-12-03T05:00:00,77,Waterfront Communities-The Island (77),,-79.3939285,6,"{u'type': u'Point', u'coordinates': (-79.3939285, 43.6427383)}",-79.3939285,43.6427383
7,207,1462848,2006,D42,Other,2006-12-03T05:00:00,132,Malvern (132),,-79.1971359,7,"{u'type': u'Point', u'coordinates': (-79.1971359, 43.796772)}",-79.1971359,43.796772
8,208,1451923,2006,D51,Other,2006-12-20T05:00:00,72,Regent Park (72),,-79.3586884,8,"{u'type': u'Point', u'coordinates': (-79.3586884, 43.6624184)}",-79.3586884,43.6624184
9,209,1501929,2006,D14,Shooting,2006-12-25T05:00:00,85,South Parkdale (85),,-79.4273758,9,"{u'type': u'Point', u'coordinates': (-79.4273758, 43.6389618)}",-79.4273758,43.6389618
10,210,1490523,2006,D23,Stabbing,2006-12-26T05:00:00,4,Rexdale-Kipling (4),,-79.5734711,10,"{u'type': u'Point', u'coordinates': (-79.5734711, 43.7257538)}",-79.5734711,43.7257538
11,211,1932560,2006,D31,Shooting,2006-12-27T05:00:00,24,Black Creek (24),,-79.5188217,11,"{u'type': u'Point', u'coordinates': (-79.5188217, 43.7619209)}",-79.5188217,43.7619209
12,212,1904938,2006,D22,Other,2006-10-06T04:00:00,14,Islington-City Centre West (14),,-79.5601501,12,"{u'type': u'Point', u'coordinates': (-79.5601501, 43.6473999)}",-79.5601501,43.6473999
13,213,1875060,2007,D42,Shooting,2007-01-01T05:00:00,132,Malvern (132),,-79.2282181,13,"{u'type': u'Point', u'coordinates': (-79.2282181, 43.7999954)}",-79.2282181,43.7999954
14,214,1763040,2007,D54,Shooting,2007-01-11T05:00:00,44,Flemingdon Park (44),,-79.3244934,14,"{u'type': u'Point', u'coordinates': (-79.3244934, 43.712368)}",-79.3244934,43.712368
15,215,1441479,2007,D12,Other,2007-01-11T05:00:00,113,Weston (113),,-79.5153656,15,"{u'type': u'Point', u'coordinates': (-79.5153656, 43.6998215)}",-79.5153656,43.6998215
16,216,1993783,2007,D42,Shooting,2007-01-14T05:00:00,128,Agincourt South-Malvern West (128),,-79.2683182,16,"{u'type': u'Point', u'coordinates': (-79.2683182, 43.782032)}",-79.2683182,43.782032
17,217,1492036,2007,D12,Stabbing,2007-01-20T05:00:00,111,Rockcliffe-Smythe (111),,-79.4777756,17,"{u'type': u'Point', u'coordinates': (-79.4777756, 43.6780205)}",-79.4777756,43.6780205
18,218,1925141,2007,D43,Shooting,2007-02-04T05:00:00,123,Cliffcrest (123),,-79.2279053,18,"{u'type': u'Point', u'coordinates': (-79.2279053, 43.7224388)}",-79.2279053,43.7224388
